current_result,evidence_sources,expected_behavior,gap_class,notes,priority_reasons,priority_score,query,reason_not_to_apply_automatically,recommended_destination_artifact,related_existing_entries,resolved_ir_ids,review_id,review_status,reviewed_at,reviewer,risk,schema_version,search_direction,source_bundle_id,source_catalog_version,source_evidence,supersedes
miss,"[""phase7a_alias_table"", ""phase7f_regression"", ""search_index_replay""]",Return reviewed grand-mère and grand-père postings together,reviewed_source_alias_candidate,Round 2 alias candidate; do not auto-apply multi-target behavior.,"[""kinship_body_common:+15"", ""canonical_entry_exists:+20"", ""basic_vocabulary:+20"", ""multi_target_penalty:-20""]",55,grand-parents,Multi-target alias requires explicit human confirmation of combined posting order and scope; Phase 7A left this deferred.,shared/aliases/source_aliases_v1.jsonl,"[{""term"": ""grand-mère"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""1f6d3a5919110b21""], ""note"": ""Canonical source term resolves independently.""}, {""term"": ""grand-père"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""957bd76b41fda053""], ""note"": ""Canonical source term resolves independently.""}]","[""1f6d3a5919110b21"", ""957bd76b41fda053""]",phase7j_gap_0001,deferred,,,medium,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""deferred_alias"", ""ir_id"": ""src_alias_phase7a_0004"", ""field_path"": ""shared/aliases/source_aliases_v1.jsonl"", ""excerpt"": ""Phase 7A deferred multi-target hyphenation alias.""}, {""kind"": ""search_index"", ""ir_id"": """", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""No src_* key for grand-parents on current bundle.""}]","[""src_alias_phase7a_0004""]"
hit (3),"[""search_index_replay"", ""phase7f_regression"", ""roadmap_deferrals""]",Hits remain correct but user may not know which of three targets to choose,ranking_ambiguity_issue,Distinct from mere accentless lookup; ranking/interpretability track.,"[""kinship_body_common:+15"", ""high_user_confusion:+15"", ""basic_vocabulary:+20""]",50,mère,"Query already hits; problem is sense ordering and interpretability, not missing source-index coverage. No alias or supplement should be applied without ranking policy review.",policy_memo,"[{""term"": ""mère cadette"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""ce9c7f6ec9e71ddd""], ""note"": ""Subtype mapping exists.""}, {""term"": ""mère allaitante"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""6b42686b9f71a6b0""], ""note"": ""Subtype mapping exists.""}]","[""0f517a71c373f51d"", ""d540716db9321a83"", ""e5164efcdf5e6ca4""]",phase7j_gap_0002,deferred,,,medium,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""search_index"", ""ir_id"": ""0f517a71c373f51d"", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""Broad mère posting includes multiple ir_ids.""}, {""kind"": ""roadmap_deferral"", ""ir_id"": """", ""field_path"": ""docs/ROADMAP.md"", ""excerpt"": ""mere/kinship ranking review deferred since Phase 7B.""}]",[]
hit (3),"[""search_index_replay""]",Accentless form should not silently change ranking semantics relative to mère,ranking_ambiguity_issue,Linked to mère ranking review; not a new source-index mapping gap.,"[""kinship_body_common:+15"", ""high_user_confusion:+15"", ""recall_already_works:-note""]",35,mere,"Recall works via normalization ladder; remaining issue is multi-target ordering, not a source alias or supplement gap.",policy_memo,"[{""term"": ""mère"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""0f517a71c373f51d"", ""d540716db9321a83"", ""e5164efcdf5e6ca4""], ""note"": ""Diacritics-insensitive ladder resolves same posting set.""}]","[""0f517a71c373f51d"", ""d540716db9321a83"", ""e5164efcdf5e6ca4""]",phase7j_gap_0003,deferred,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""search_index"", ""ir_id"": """", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""Resolves via diacritics_insensitive key 'mere'.""}]",[]
hit (1),"[""approved_supplements"", ""phase7f_regression"", ""search_index_replay""]",Continue returning approved supplement postings; regression-only monitoring,already_addressed,Miner may still flag related gloss evidence; do not reopen without new failure evidence.,"[""already_addressed_penalty:-100""]",0,oncle,Already shipped in Phases 7B/7D; Round 2 audit retains for regression control only.,,[],"[""ff7f0815f52b363b""]",phase7j_gap_0004,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""approved_supplement"", ""ir_id"": ""src_supp_phase7d_0001"", ""field_path"": ""shared/source_index_supplements/source_index_supplements_v1.jsonl"", ""excerpt"": ""Approved Phase 7 supplement for oncle.""}, {""kind"": ""search_index"", ""ir_id"": ""ff7f0815f52b363b"", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""Current bundle resolves oncle at casefold.""}]","[""src_supp_phase7d_0001""]"
hit (1),"[""approved_supplements"", ""phase7f_regression"", ""search_index_replay""]",Continue returning approved supplement postings; regression-only monitoring,already_addressed,Miner may still flag related gloss evidence; do not reopen without new failure evidence.,"[""already_addressed_penalty:-100""]",0,poil,Already shipped in Phases 7B/7D; Round 2 audit retains for regression control only.,,[],"[""ff499fdee22b2b86""]",phase7j_gap_0005,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""approved_supplement"", ""ir_id"": ""src_supp_phase7b_0001"", ""field_path"": ""shared/source_index_supplements/source_index_supplements_v1.jsonl"", ""excerpt"": ""Approved Phase 7 supplement for poil.""}, {""kind"": ""search_index"", ""ir_id"": ""ff499fdee22b2b86"", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""Current bundle resolves poil at casefold.""}]","[""src_supp_phase7b_0001""]"
hit (1),"[""approved_supplements"", ""phase7f_regression"", ""search_index_replay""]",Continue returning approved supplement postings; regression-only monitoring,already_addressed,Miner may still flag related gloss evidence; do not reopen without new failure evidence.,"[""already_addressed_penalty:-100""]",0,poils,Already shipped in Phases 7B/7D; Round 2 audit retains for regression control only.,,[],"[""ffdd559032fa4284""]",phase7j_gap_0006,candidate,,,low,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""approved_supplement"", ""ir_id"": ""src_supp_phase7b_0002"", ""field_path"": ""shared/source_index_supplements/source_index_supplements_v1.jsonl"", ""excerpt"": ""Approved Phase 7 supplement for poils.""}, {""kind"": ""search_index"", ""ir_id"": ""ffdd559032fa4284"", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""Current bundle resolves poils at casefold.""}]","[""src_supp_phase7b_0002""]"
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]","Route only to reviewed canonical phrase ""à l'insu de qqn"" after named human approval",phrase_miss_candidate,Stay in Phase 7I human-review track; 7J does not approve phrase aliases.,"[""canonical_entry_exists:+20"", ""phrase_scope_penalty:-30"", ""phase7i_deferred""]",55,à l'insu de qqns,Phrase alias implementation is blocked until named human reviewer approves with rationale per source_phrase_alias_v1; must not use source_alias_table_v1.,shared/phrase_review/source_phrase_aliases_v1.jsonl,"[{""term"": ""à l'insu de qqn"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""ef0667f3fb422851""], ""note"": ""Closest reviewed canonical phrase.""}]","[""ef0667f3fb422851""]",phase7j_gap_0007,deferred,,,medium,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0004"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H/7I evidence row; implementation blocked.""}]","[""phase7h_phrase_0004""]"
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]",Route only to reviewed canonical phrase 'à la mesure de' after named human approval,phrase_miss_candidate,Stay in Phase 7I human-review track; 7J does not approve phrase aliases.,"[""canonical_entry_exists:+20"", ""phrase_scope_penalty:-30"", ""phase7i_deferred""]",50,à la mesure des,Phrase alias implementation is blocked until named human reviewer approves with rationale per source_phrase_alias_v1; must not use source_alias_table_v1.,shared/phrase_review/source_phrase_aliases_v1.jsonl,"[{""term"": ""à la mesure de"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""ba5714fa586bd031""], ""note"": ""Closest reviewed canonical phrase.""}]","[""ba5714fa586bd031""]",phase7j_gap_0008,deferred,,,medium,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0006"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H/7I evidence row; implementation blocked.""}]","[""phase7h_phrase_0006""]"
hit (1),"[""plain_kun_policy_memo"", ""search_index_replay"", ""phase7f_regression""]",Policy decision whether accentless Kun should also surface accented Kùn postings,target_side_issue,Do not route into source-side artifacts.,"[""high_user_confusion:+15"", ""target_side_out_of_scope""]",40,Kun,Changing accentless target recall requires an explicit search-policy decision; it must not be implemented as a source alias or supplement.,policy_memo,"[{""term"": ""Kùn"", ""result_status"": ""hit"", ""resolved_ir_ids"": [""753fa18e0a6df4ab"", ""e28e149f57ab616b""], ""note"": ""Accented form resolves to distinct posting set.""}]","[""b07ae7bd61ff3c85""]",phase7j_gap_0009,deferred,,,medium,phase7j_gap_review_v1,target_to_source,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""policy_memo"", ""ir_id"": """", ""field_path"": ""docs/PLAIN_KUN_POLICY_DECISION_MEMO.md"", ""excerpt"": ""Plain Kun is a target-side search-policy topic, not a source-index gap.""}, {""kind"": ""search_index"", ""ir_id"": ""b07ae7bd61ff3c85"", ""field_path"": ""search_index.jsonl"", ""excerpt"": ""tgt_casefold kun returns unaccented posting only (first-hit ladder).""}]",[]
partial related terms only,"[""phrase_miss_review_v1"", ""phase7i_review_packet"", ""search_index_replay""]",Remain no-hit unless future reviewed dictionary or phrase evidence changes classification,true_dictionary_entry_gap,Explicit non-action carry-forward from Phase 7H/7I.,"[""phase7h_classification"", ""no_auto_phrase_routing""]",25,ferme la bouche,Routing to bouche would be unsafe phrase-to-single-word collapse without phrase-level evidence.,,[],[],phase7j_gap_0010,rejected,,,high,phase7j_gap_review_v1,source_to_target,bundle_full_20260609_phase7f_alias_candidate,norm-v3-featured-enriched-source-aliases-2-source-index-supplements-2,"[{""kind"": ""phrase_review"", ""ir_id"": ""phase7h_phrase_0001"", ""field_path"": ""shared/phrase_review/phrase_miss_review_v1.jsonl"", ""excerpt"": ""Phase 7H category true_dictionary_entry_missing; recommendation reject_keep_no_hit.""}]","[""phase7h_phrase_0001""]"
